129:coo.31924054870344_ocr:002GREEK	E ΝΟΤ ι ι ιθ
129:coo.31924054870344_ocr:017GREEK	Α Καὶ γὰρ μοναχὸν τινα Ζυγαδηνόν καλούμενον, γνωστόν μὲν τῇ δεσποίνῃ καὶ πρός μητρός ἐμῇ μάμμῃ, καὶ πᾶσι τοῖς τοῦ ἱερατικοῦ καταλόγου, γραμματικῆς δὲ εἰς ἄκρον ἐληλακότα καὶ ῥητορικῆς οὐκ ἀμελέτητον ὄντα, καὶ τὸ δόγμα ὡς οὐκ ἄλλος τις ἐπιστάμενον. Τοῦτον ὁ αὐτοκράτωρ μεταπεμψάμενος ἐπέταξεν ἁπάσας τὰς αἱρέσεις ἐκθέσθαι, ἑκάστην ἰδίᾳ, καὶ ἐφ’ ἑκάστῃ τὰς τῶν ἁγίων ’Πατέρων ἀνατροπὰς ἐγγράψασθαι, .Ταύτην τὴν βίϐλον δογματικὴν πανοπλίαν ὁ αὐτοκράτωρ ὠνόμασεν. Ζυγαδηνὸν ergo habet editio Πολλῶν ὴκριϐωμένος ° Οὐδὲν ἐνθάδε. Τὰ πάντα ἐσκεμμένα. Μακάριος φιλαδελ[φείας. Πολλῶν πόνων ἔρανος supremam; Οὐδὲν περιττὸνξ οὐδὲν λέἰπον ἐνθάδε ' 17 ΡΗᾸΕΡΑΤΙΟ 18 δούλου Ἰησοῦ Χριστοῦ ἐγκώμιον εἰς τὸν ἅγιον ἀπόστολον τοῦ Χριστοῦ ἰερόθεον.
129:coo.31924054870344_ocr:018GREEK	Initium: Ἰερὸθεον F01. 388. Τοῦ αὐτοῦ Κυπρίου (t) ἐγκώμιον εἰς τὸν ἅγιον Εὐθύμιον, ἐπίσκοπον Μαδεύτων, Initium: Ἔπιτιμᾷν δικαίως ἡμῖν οἶμαι. πόλεως, si; τὸν ἅγιον Γεώργιον. Est ergo Georgius τοῦ ὕστερον γεγονότος πατριάρχου Κωνσταντινου19 ΡΒᾹΞΫΑΤΙΟ 20 mieux juger.
129:coo.31924054870344_ocr:019GREEK	Ἑρμηνεία (a) τοῦ κατὰ Μοιτθαῖον Εὐαγγέλίου φιλοπόνως ἐρανισθεῖσα, μάλιστα μὲν ἀπὸ τῆς ἐξηγήσεως τοῦ ἐν ἁγίοις Πατρός ἡμῶν Ἰωάννου τοῦ Χρυσοστόμου ' ἔτι δὲ καὶ ἀπὸ διαφόρων ἄλλων Πατέρων, συνεισωεγκόντος τινὰ καὶ τοῦ ταύτην ἐρανισαμένου ὶερωτάτου Βουλγαρίας. Ce qui ει pu faire croire φητείας νόμος ἐστὶ, τὸ πολλάκις ῥηθῆναι μὶν ἃττ’ οἶλλων⁹ πληρωθῆναι δὲ ἐφ’ ἑτέρων. ρον δὲ μεθηρμηνεύθη πρὸς τὴν ἡμετὲραν διάλεκτον, ἀπὸ τῆς Ἐϐροιῖδος γλώττης εἰς τὴν Ἑλληνίδα, ὡς (σ)ῨἘρμηνεία τοῦ κατὰ Ματθαξον Εὑαγγελίου φιλοπόνωςςέρανισθείσα, μάλιστα μὲν ἀπὸ τῆς ἐξηγήσεως τοῦ ἐν ﬁer/tat; Harpagisz Ἰωάννου τοῦ Χρύσοστόμου · ἐτι δὲ καὶ ἀπο διαφόρων, Πατέρων, συνεισενεγῖίόντος ’ξινά atati ῖοῡ ταύτην ἐρανισαμένου ἀμ. Ita cod. ms. (f) Matth. 1, 19 : Πᾳραὸειγμοιτίσαι δὲ ἐλέγετο, ὅταν ἀνὴρ παρὰ τὸ συνέὸᾧιον ’ἦγε ’τὴν unam-suoneνην, καὶ κατηγόρει ταύτην, καὶ οὕτως αὐτὴν φάνε21 ΡΡιΑ .
129:coo.31924054870344_ocr:020GREEK	ΤΙΟ. 22 ἐξομολογουμένονς ’γὰρ αὐτοὺς, εἷτονν μετανοοῦντας, ὡς πάντων διαφορώτερον ἐπὶ τῇ σταθηρότητι· et quo (ι) Matt. ιιι, 11.(ῖζι) Εἰ. δὲ μὴν, ἀξιέραια τὰΔ ⁸ζτροςιιητικὰ ⁸τέθεικε ῥητὰτ Χρή καρολὶκῶς ludificat», ὅτι οἱ Bay/allata; ποτὶ μὲν ἀκεραίως τῶν ῥητῶν άπομνημονεύόνσιο ποτὲ δὲ ᾇποτέμνουσιν ᾉαύτά· ποτὲ δὲ τὴν μὲν τῆν ῥητῶν _ διάνοιαν ὀλόκληρον ἀποσώζουσιο λέξεις δέ τινας ἀπαρατηρήτως ὑπαλλάττουσιν, ὅταν οὐδέν τι μέλλοι τῶ⁷λόγῷ τοῦτο λυμαίνεσθαι. Matth. ιν, 15. (ρ) Οὐ χρή δὲ θωμάζειν,Δ εἰ μὲν οὗτος ὁ εὐαγγελὶστὴς ἄτροστίθησι·’ τὰ δὲ ἐκεῖνος παραλιμπάν-εἱ. Καὶ γὰρ ἅμα τῷ λέγειν τὸν Χριστὸν ἔγραψαν, η. , . , , ν τὰ Ἐῦαγγιῖιαβ Ἵνα καί πάντων ὁμοῦ rerum.)λόγων ἀναμνημονεύειν ἔχοιεν, ’ἀλλα μετὰ πολλοᾲς ὖέτερον ἐνιαυτούς καὶ οἰκὸς. ἀνθρώπονς ὄντας,αὑτούς, ἐπιλαθέσθαι τινα καὶ ταύτὴν ἔχε τὴν λύσιν ., . . μ . 23 ΡΒᾹΞΡΑΤΙΟ .
129:coo.31924054870344_ocr:021GREEK	24 νομικὸν ἐπλήρωσε Πάσχα καὶ τὸ πνευμάτιόν. ἐσπούδασα τὸ τοῦ ἐνιαυτοῦ τούτου πάσχα φαγεῖν μεθ’ ὑμῶν, μὴ ἀναμέυας τὸν νενομισμένον καιρὸν, ἵνα μή τὸ πάθος τοῦ σταυροῦ κωλύσῃ τὸν νομικὸν δεῖπνον καὶ τὸν μυστικὸν. ’Ὠσπερ γὰρ ὑπερφιρῶς ἐθέωσε τὴν προσληφθεῖσαν σάρκας οῗτὼς ἀπορρήτως μεταποιεῖ καὶ τάὗτα εις αύὲὸ τὸΔ ζωοποιὸν αὐτοῦ σῶμα, καὶ εἰς αὐτὸ τό τὶμιον αύτοῦ αἷμα καί είς τήν χάριν αὐτοῦ. Ad Matth. cap. (ω) Ἡμεῖς τοίνυν πειθώμεθά πανῖαχοῡ τῷ Θεῷ, καὶ Eu) (bule'ywysv'nxai ἐί τὸ παρ αὐτοῦ λεγομενον ἐναντίον εἶναι δοκεῖ τοῖς Δξσμέτέροις λογισμοῖς νον εναντιον ειναι σοκει τοις ζῑμετεροις Ιεογισ Ol;καὶ ταῖς ὄψεσι, καί ἔσω καί λογισμῶν καὶ διέζων κυριώτερος ὁ λόγος αὐτοῦ. Οὕτω καὶ ἐπὶ τὼν φριξτῷν μυστηρὶων ποιῶμεν, μὴ τὰ Δπροκείμενα μόνον βλέποντες ἄλλά τοῖς ’λόγοις τοῦ δεσπότου πειθόμε25 ΡΒᾹΞΡΑΤΙΟ .
129:coo.31924054870344_ocr:022GREEK	26 πίστις, ἀλλ’ ἐκ προαιρέσεως· (b) Acori οὐκ ἦν ἀναγκαῖον τὸ περὶ ταύτης εἰπεῖν. Ti γὰρ ἂν καὶ συνετέλεσε Χριστιανοῖς ἠέ ταύτης διήγὴσὶς ; διὸ ταύτην μὲνπαρέδλοαμον. Τοῖς⁸ δὲ λόγοις τοῦς μυστικοῦ δείπνου ’ φιλοπονὼτερον προσδιέτριῷαν, ὡς ἀναγκαιώτατον καὶ συνὶκτικώτατον τῆς ἡμῶν πίοτὲως. Verba infra yide εὈῦτε ἀνθρωπίνη τξροθυμία κατορθοῖ τι χωρὶς τῆς-θείας ῥοπῆ-ς. x. τ. (f) ’Φᾳσὶ {te τινὲςζ ᾇτι ἀνέγκλητός ἐστι] τὸ προωρισμένον ἐπιτελέσας. Πρὸς οῦξ λέγομςν, ὅτι ου’ (iter: προώριςτο, διὰ τοῦτο παρέδωκεν’ ’ἀλλὰ dum παρἔστιν αἰτιολογίας, ἀλλ’ ἐκϐάσεως, ἤτοι πληρώσεως τοῦ μέλλοντος.
129:coo.31924054870344_ocr:023GREEK	Χρυσόστομον ὅλως μνημονεῦσαι αὐτῶν : car c'est ainsi σημαίνει καὶ τὸ μὴ βούλεσθαι. gn) Ἰᾅὶνιτμακαὶξοῡτσ τῆ ςΑΓραφῆς, τὸ τὴν παραχώρη σιν τσῦ Θεοῦ, ὡς πρᾷξιν αὐτοῦ λέιγείν. Τὸ γὰρ sanguineis καὶ τὸ narrationes,ἇςντὶ τοῦ ποςρ-εχώρησέ τυφλωόῆνοει καὶ πῳρίεθῇναι, ἀνιάτων. Οὗὸἐῦαήάρ ἀνθέλκει, διὰ τὸ αυτεςουσιον εκαστου. (ρ) Ὀσον τὸ ἐπ’ αὐτῷ. Εἰ δέ τινες οὔτε ἐπίστευἀρετή . 31 ΡΒᾸΕΡΑΤΙΟ.
129:coo.31924054870344_ocr:025GREEK	32 3|, absunt," εἶπε δὲ ὁ Κύριος, ’ ’ 33 Ρ ΜΡᾼΤΙΟ.
129:coo.31924054870344_ocr:027GREEK	36 , ο .
129:coo.31924054870344_ocr:029GREEK	, [οι. 41 ΡΒ.
129:coo.31924054870344_ocr:030GREEK	) -α Ξ 45 ΡΗᾹΞΡἊΤΙΟ.
129:coo.31924054870344_ocr:032GREEK	46 49 ΡΗΛΕΡΑΤῙΟ.
129:coo.31924054870344_ocr:034GREEK	50 mea εει-επακ) ana.
129:coo.31924054870344_ocr:035GREEK	επανω αυτων . 53 ΡΒᾹΞΡΑΤΙΟ.
129:coo.31924054870344_ocr:036GREEK	54 εωε. περὶ. αὑττδῖξ habet μαθητοέςς ΓΙΟ.
129:coo.31924054870344_ocr:037GREEK	36 e ιε’γει. et λεγει. ταμένως καὶ μετὰ πλείονος⁸ αὐτὸν πὰραμυθίας τοῦτα stentem:
129:coo.31924054870344_ocr:038GREEK	φησὶν. Οὐ γὰρ δὴ μόνον -ἑ-οὖς κακῶς διὰ τεν θεὸν ἀκούοντας μακαρίζει · ἀλλὰ καὶ τοὺς παρὰ πάντων καλῶς ἀκούοντας ταλανίζει· οὐαὶ ’γὰρ Qui“),φησὶν, ὅταν καλῶς ὑμᾶς εἵξτωσι τεθέντεςῇ οἱ ἅνθρω irai. Καίτοι καὶ τοὺς ἀποστόλους καλῶς ἔλεγον· ἀλλ’ Καὶ στραφεὶς πρὸς τούς μαθητὰς εἶπε :
129:coo.31924054870344_ocr:039GREEK	Et conversus ad ἔχωσιν οἱ παρὰ τῶν ἀνθρώπων μέν γὰρ Δκοιὶ impar τῶν ἀν’θφώπων ἐπαινεζάθαι, ’ἀλλὰ 61 ΡΡυλΕΡΑΤΙΟ .
129:coo.31924054870344_ocr:040GREEK	62 plutensi exemplari : Τοῦτο γὰρ σημεῖον δεδώκει αὐτοῖς, Ὃν ἂν φιλήσω, αὐτος ἐστι· Hoc enim signum Οὗτός ἐστι περὶ οὗ ἐγὼ εἷπον, Ὀπίσω μου ἔρχεται ἀνὴρ, ὃς ἔμπροσθέν μου γέγονεν, ὅτι πρῶτός μου ἦν. λογῳ. ditur consequenter, καὶ μηδένα θεασάμενος, πλὴν ly, V.
129:coo.31924054870344_ocr:041GREEK	2)”?11019 ο εὖαγγελισέὴς, ὅτι Ἰρσρύς οὐκ ἐϐάπτιζενςάὒῗ οἱ μαθηέαἰ αὐτοῦ, ὅθεν δῆλον, ὃτι xui. ἐνταῦθα τοῦτο λέγει, ὅτι αὐτοὶ ΕΒΑΠΤΙΖΟΝ μόνοι. habet : Καὶ μετὰ ταῦτα ἦλθεν ὁ Ἰησορς ei; τὴν Ἰουδαίαν γῆν ’μετὰ τῶν μαθητῶν αὐτοῦ· ἦν δὲ καὶ ῥ Χριστὸξ διὰ τῶν ἐανέοὑ μαθητῶν. Tales critici slt'lt 59 ³ Ἦραν ίοῧνί ad ἑῇ αὐτόν. Secundo : Ἰησοῦς δέ ἐκρύϐη. Tertio ζ Καὶ ἐξῆλθεν ἐκ ’τοῦ ἱεροῦ. Quarto : Διέ).οὡν διὰ μέσον αὐτῶν. Quinto ζ’ Καὶ παρῆγεν ασκευη της στιπιυυμυιυυε, qu“.
129:coo.31924054870344_ocr:042GREEK	NAασκευη της στιπιυυμυιυυε, qu“. 71 ΡΒᾹΞΡΑΤΙΟ.
129:coo.31924054870344_ocr:045GREEK	72 Τό ἄριστον μου (ο) ἡτοίμασται 22, 4; sic etiam Καὶ ἀποκριθείς εἶπεν αὐτοῖς γενεὰ πον. 16, 4, ex Ἰδόντες τά γενόμενα. 27, 54, misso τὸν σεισμὸν, Τοὺς δούλους τούτους· ἳνα ’γνὼ etc. (missis mediis, Ὶ⁴Ιδοξαν φαντασίαν εἶναι, 6, 49, sic codex Ephe’Ἑστω (ν) πάντων δοῦλος, 9, 35, sic codd. aliq. Γ οHinc βαθύ-γειος. ἔσχατος atati. ita: Καὶ σὺν αὐτῷ σταυρούστν δύο λῃστάς, et in. inΟὐκ ἦλθον καλεσαι δικαίους, ἀλλὰ ἁμαρτωλούς.
129:coo.31924054870344_ocr:046GREEK	dictum, Ἰησοῦς αὐτὸς οὐκ ἐϐάπτιζεν, ἀλλ ’ οἱ μαθη· ταὶ αὐτοῦ, cap. 4, ν. 2. Ὀρθρου πάλιν βαθέος ἦλθεν ὁ Ἰησοῦς. 8. 1. ExΕἶπαν αὐτῷ, πειράζοντες. 8, 4, libri multi. ComἈναϐλέψας εἶπεν αὐτοῖς. 8, 7. Codd, al. clarius. Εἷὸεν αὐτὴν καὶ εἶπε. Γύναι, etc. 8. 10. Libri aliq. ’Ἦν ἤκουσα παρὰ τοῦ Παιρός. 8, 40. Euthym. isque Καὶ τὴν ἀδελφὴν αὐτῆς Μαρίαν, 11, 5. Sic Vulg. (in dam τοιντολογίαν, mutatum videmus οὗτος in οὕτως, ’Ἡγαογον εἰς τὸ πραιτώριον. 19, 16. Sic codd. al. Καλὸν σπέρμα ἔσπειρας ὲν (d) τῷ ἀγρῷ. ΜΑΤΤΗ. 13, ενομενα . 7.
129:coo.31924054870344_ocr:048GREEK	τί εύπρεπείς, κ τ. λ. 15. Προσέχετε δέ] δέ abest. 24. Ἀνδρὶηφργονίμ-ῳ] ἀνδρί omittit 8.. ΗροσέκοῷανΗ] π⁶σοσέπεσίονίῖξῄῦξιῖίθ vexatum est προσκόπτειν. Ergo alii habent προσέρρηξαν, alii προσέκρουσαν. Cap. Vlll, V. Εὶσελθόντιᾼδε τῷ Ἰησοῦ ] εἰσελκυοιακη . κυριακῃ ο. il. Εὶπε λογον ] εἰπε λογῳ. 10. Τοῖς ἀκολουθοῦσιν Ἀμήν. καθαρίζετεκνεκροὺςἐγείρετε, δαιμόνια ἐκϐάλλετε ἓγείρετε, λεπροὺς καθαρίζετε,-’ δαιμόνια ἐκϐάλλετε. ναιεειιεέω Ιέᾳιὶῡηέιῄὲιρῖᾖίξοττῆβῖἷόεἶῖίᾗῖγξο-εἶεῖ mo, qui ι. νυ, p. 209 C. habet" είς τους κόλπους. ουρανων. ρανων.15, Διηκὸνει αὐτῷ. Διαγτοῦ προφήτου Ησαίουι 25. Μαθηταὶ αὑτοῦ ] αὐτοῦ abest. 34. non; ἐξῆλθον. Β. Cap. IX, νκ1τ Καί ’ἐμϐάς εἰς τὸ πλοῖον] ὸ Ἰησοῦς, 4. Καὶ idem ] ἰδὼν δέ. 5. Σοι αι ἁμαρτίαι [σου αἱ ἁμαρτίαι. 9. Καὶ ἀναστάς] ὁδε ἀναστάς. μαι ἀμφότερα ] καί αμφότεροι. 18. ξΛρχὼν--τίξείσελθών, ἶρτιήρύδεποτε] 67t_al_)est. .36. Ἐξλελυμένοι ]-ἒσκυλρεένοι. qu, ὡς πρόϐατα, Cap. Χ, v.1. iam ἐκϐάλλειν. b.’ Μοχῖ v. 3. λε·4. Ὀ Ἰσκαριώτηξ] ὁ abest. προὺς, τοὺς καθαιρομένους καὶ τοὺς ἑγετροριέ-..--.-.-_.---‘.L: η -..ι ιρι-,γ ε -ι ν. ο καθαίρειν, ᾇ-αιριὸνιαἐλαύνειν _— νεκροῦςυ ἐγείροντες. quens, inquit :_ Καὶ γὰρ καὶ αὐτὸς μετά τῶν, ἄλλων τήνΔ τῶν πεμφρέντων ..νεκρούς ἐγεῖραι καὶ Δλεπροὺς πεν αὐτοῦςι τούς μαθητάς ούκ εἶπεν, ἔδωκεν ui}τοῖς Πνεῦμα ἅγιον. αλλ’, ἔδωκεν αὐτοῖς ἐξουσίαν, λέγων. ᾼεπρούς καθαρίζετε, Δδαιμόνιοι ἐκϐάλλετε, sape-5; ἐγείρετευ ’δωρεὰν ἐλάϐετε, ,δωρεὰν ὃοτε. dem λεπροὶ καθαρίζονται, νεκροὶ ἐγείρονται. ’89 23.
129:coo.31924054870344_ocr:049GREEK	Συνιων] συνιῶν. a. 26. μαρπόν] καρπούς. b. 27. Ἐχει ζιζάνια. 28. Συλλέξομεν. 30. Συναυξανεσθάι] οὖν συναυξάνεσθαι. Syllabas δ Αὐτὰ ιῗίς δέσμας] αὐτὰς εἰς δεσμάς. a. Αὑτὰ εἰςεσμας. . εσμας. D. :7 α . .3;. ςΜέἒζον πάντων τῶν λαχάνων. 33. Ἐκρυψεν. 40. Καὲακαίεται] 44. Ἐν ἀγρῷ. 52. Θησανροῡ αὐτοῦ] αὐτοῦ abest. a. 55. Οὐχ ἡ μήτηρ. 5. Ἐφοϐεἰτο τὸν ὄχλον, 12. Τὸ σῶμα αὐτοῦ. 14. Ἐσπλαγχνίσθη ἐπ’ αὐτοῖς. Stephani_ana_maquidem, σπλαέχχνίζεσθαι ιιι-Νονο Testamento addiΖΖ. Λυτου, ροδιέιασητας, υευδι. .28. ’AaoxprO—cig‘d“: ό Πέτρος, εἶπεν αὐτῷ· Κῦριε. Ita 35; Ἀψονται. a. ’ος ἄν] ὃς ἐάν. 14. Ἐμπεσοῦνται. 17. Ἐκϐάλλετε. a. εσ ιει. . Ἤδη ἡμέραι τρεῖς. 37. Περιῖτξῦον. Cap. XVI, ν. 3. Πρωὶ] πρωῖας, li. Ante γενεά, addunt : καὶ ἀποκριθεὶς εἶπεν αὐτοῖς. 11. Περὶ ἀρτων. ‘25. Δ[Ιιοορνεκύνει] «paenitenda. 81 ΡΗΑΞΡΑΤΙΟ 82 ὖζ.
