32:coo.31924054869296_ocr:002GREEK	Si: ί» ἠ — ιγ ’καί “ · ἐξ τν λ ξίν ‘ τε ,-ε _ . ⁴ , · . ’' . κε λ ν’ _ᾑξςέέῖρ ς μηθ’ ἐς 3 isi? ι τIr λ ς η 1 (η λη.. ι θ’θ’,ι εει. πεί ξ   ., νά{Ir π ’ ν. ς ι ς ,ι ρέα»Δ , ἢ τί ἰδέ . κήξ ὓ θ λ , . ·θη τί ηςς xxxix: ιγ ’ 5.?» ’ῖνῖμ ῖὲςέιξς ί , ’ "Egi?" λ ﬁt; ιὲττέίίτεὲθέέ~ ' χ 9,ν ἐμμήιξ .. ΙΙΙλ ’ξίξκιξρ ῗτ τι .,⁷ ΐεξὲε ἱ α ’ν ⁷ ί“ ς ~ ,τευ ἦ θέλῃ τις-ζ η ,ο ζ εμ ί.ῖὲκ ι ί υ ,ζει νςπῦ “λ ς. fi" ι Ἃ» ξέν’ “an λοιsi»; ,ι ντί· ·’ ς-ζγνῇηἱέδ·ν” υ ἐμέ» ο τ’,ν’ ὁ ι ιμ’ ζέω. ⁴⁷⁸ξιμςέ η ’Ἀρῇνῗκδιδ βλΔ ⁹“ ’ 1 ⁴. ‘3 τῖ’ δ. ιδ νἾπμ ηπ, ﬂ?‘-,η-ς ⁵ ψ.γενέ -, ί fw: ετξ ﬁ???» ἶ .
32:coo.31924054869296_ocr:017GREEK	Ou' μέντοι τούτου γε ἕνεκεν δυνάμεθά ποτε ἑαυτοὺς πεῖσαι, ἦ Μελέτιον ἀγνοῆσαι, ᾖ τῆς ὑπ’ αὐτὸν Ἐκκλησίας ἐπιλαθέσθαι, ἡ τ’ὀι ζητήματα, ὑπὲρ ὧν ἐξ ἀρχῆς ἡ διάστασις γέγονε, μικρά ἡγήσασθαι, καὶ ὀλίγην ἔχειν διαφορὰν νομίσαι πρὸς τὸν τῆς εὐσεϐείας σκοπὸν. Ἐγὼ γὰρ, οὐχ ὅπως εἰ ἐπιστολὴν τις ἀνθρώπων δεξάμενος ἐπ’ αὐτῇ μέγα φρονεῖ τούτου ἕνεκεν ὑποσταλῆναί ποτε καταδίξομαι· ἀλλ’ οὐδ’ ἂν ἐξ αὐτῶν ἥκῃ τῶν οὐρανῶν, μὴ στοιχῇ δὲ τῷ ὑγιαίνοντι λόγῳ τῆς πίστεως, δύναμαι αὐτὸν κοινωνόν ἡγήσασθαι τῶν ἁγίων Νοη idcirco tamen ἐν ἀέρι φαντασμάτων τὰ μέν ἐστι κατ’ ἔμφασιν. τὰ Phys. II : Ἀ μηδὲ τῶ λόγῳ χωριστὰ, ταῦτα καὶ ὑποστάσει χωρίζουσι⁶ ουκ ne ratione quidem se. § ΙΙ. εἶναι τὰς ὑποστάσεις ὁμολογεῖν. Ὠστε τοῦτο καὶ οἱ κατά Ἀντιόχειαν ἀδελφοὶ ὃιδασκέσθωσαν παρά σοῦ πάντως δε που καὶ ἐδιδάχθησαν· οὗ γὰρ ἂν εἵλου δηλονότι τὴν πρὸς αὐτοὺς κοινωνίαν, μὴ τοῦτο αὐτῶν μάλιστα τὸ μέρος ἀσφαλισάμενος· Valde autem meum 21 ΡΒιΕῈἊΤΙΟ.
32:coo.31924054869296_ocr:018GREEK	22 23 ΡΒᾸ § ιιι.
32:coo.31924054869296_ocr:019GREEK	tur, or. 20, p. 364: Οἰκονομεῖν δὲ τοὺς λογους ἐν κρίσει, τῶν ἀναγκαίων ἐνόμιζε, τῶ θείῳ Δαεὲὶδ περὶ τούτου συμϐούλῳ χρώμενος, καὶ μικρὸν ὅσον τὸν τοῦ πολέμου καιρὸν διαφέρειν. και τὴν τῶν αἱρετιεών δυναστείαν, ἓως ὁ τῆς ἐλευθερίας ἐπιλάϐοι χαίρὸς, καὶ δῷ τῇ γλώσσῃ τὴν παρῥησίαν. Οἱ μὲν ἐζήτουν λαϐέσθαι γυμνῆς τῆς περὶ τοῦ Πνεύματος φωνῆς, ὡς εἴη Θεὸς (ὅπερ ὅν ἐὰηθὲς, uates; ἐκείνοις ὑπελαμϐάvero, καὶ τῷ κακῷ προστάτῃ τῆς ἁσεϐεἱας), ἵνα τὸ ῥυτὶς πὸὶιξις μετὰ τῆς θεολόγον γλώσσης ὑπερορίσωcurm δε κατασχὸντες τὴν Ἐκκλησίαν, καὶ τῆς ιακίσις ὁρμητήριον ποιησάμενοι, ἐντεῦθεν τὸ λατόμων ἅπαν, ὡς ἔτι τινος ἀκροπόλεως καταδράμωεει.
32:coo.31924054869296_ocr:020GREEK	Ὀ δε ἐν ἄλλαις μὴ φωναῖς γραφικαῖς καὶ μαρτυρίαις ἑωαμγιλέιτοις ταυτὸν δυναμέναις, καὶ ταῖς τῶν συλλογισμῶν ἀνάγκαις οὕτως ἦγχε τοὺς ἀντιλέγοντας, ὥστε μὴ ἀντιϐαίνειν ἔχειν, ἀλλ’ οἰκείαις συνδεῖσθαι φωναῖς, ἢπερ δὴ καὶ μεγίστη λόγου δύναμις καὶ σύνεσις· δηλώσει δε καὶ ὁ λόγος ὃν περὶ τούτου συνέ73?: κινῶν τὴν γραφίδα, ὡς ἐκ πυξίδος τοῦ Ilva}. ματος. Tia δὲ κυρίαν φωνὴν τέως ὑπερετίθετο, παρά τε τον Πνενματος αὐτοῦ, καί τῶν γνησίων τούτου συναγων· ista}: χάριν αἰτῶν, τῇ οἰκονομίᾳ μὴ δυσχεραίνειν, ius”: μιᾶς ἀντεχομένους γωνῆς, τὸ πᾶν ἀπολέσαι δι’ Exim-tito, τῷ καιρῷ παρασυρείσης τῆς εὐσεϐείας. Β Auni; μὶν γὰρ οὐδεμίαν εἶναι ζημίαν ὑπαλλαττομένων μικρὸν τῶν λέξεων, καὶ φωναῖς ἄλλαις τὸ ἶσον διδασκοpsam? οὐδε γὰρ ἐν ῥήμασιν ἡμῖν εἶναι τὴν σωτηρίαν ξιᾶῖΑΪι-ον ἦ πράγμασι· μηδὲ γὰρ τὸ Ἰουδαίων ἔθνος ἀθεεὶ-εἰν ἆν , εἰ τὴν ὴλειμμνου φωνὴν ἀντὶ τῆς Χριστοῦ πρὸς ὀλίγον ἐπιζητοῦντες, ἠξίουν μεθ’κημῶν τέττεσθαι· τῷ δὲ κοινῷ μεγίστην ἂν βλάϐην γενέσθαι, τῆς Ἐκκλησίας κατασχεθείσης· Caeterum sermones 27 , ΡΗΛΕῈΑΤΙΟ.
32:coo.31924054869296_ocr:021GREEK	28 λήλοις πνευματικῶς· γενώμεθα φιλάδελφοι μᾶλλον ἡ φίλαυτοι. Δότε τὴν δύναμιν τῆς θεότητος, καὶ δώσομεν ύμῖν τῆς φωνῆς τὴν συγχώρησιν· ὁμολογήσαιτε τὴν φύσιν ἐν ἄλλαις φωναῖς, αἷς αἰδεῖσθε μᾶλλονί καὶ ὡς ἀσθενεῖς ὑμᾶς ἰατρεύσομεν, ἔστιν ἆ καὶ τῶν πρὸς ἡδονὴν παρακλέψαντες. Λίσχρὸν μὲν γὰρ, αἰσχρόν καὶ ἱκανῶς ἄλογον, κατὰ ψυχὴν ἐρρωμένους, μικρολόγεῖσθαι περὶ τόν ἦχον, καὶ κρύπτειν τόν θησαυρὸν , ὥσπερ ἄλλοις βασκαίνοντας, ἦ μὴ καὶ τὴν γλῶσσαν ἁγιάσητε δεδοικότας· αἴσχιον δε ἡμῖν ὃ ἐγκαλοῦμεν παθεῖν, καὶ μικρολογίαν καταγινώσκοντας, αὐτούς μικρολογεῖσθαι περὶ τὰ γράμματα. Μιᾶς θεότητος, ὦ οὗτοι, τὴν Τριάδα ὁμολογησατε, εἰ δὲ βούλεσθε, μιᾶς φύσεως· καὶ τὴν Θεὸς φωνὴν παρὰ τοῦ Πνεύματος ύμῖν αἰτήσομεν. Δὼσει γὰρ, εὖ οἶδα, ό τό πρῶτον δούς καὶ τὸ δεύτερον, καὶ μάλιστα, εἰ δειλία τις εἴη πνευματικὴ, ἀλλὰ μὴ ἔνστασις διαϐολικὴ τό μαχόμενον. Ἔτι σαφέστερον εἴπω καὶ συντομώτερον, μήτε ὑμεῖς ἡμᾶς εὐθύνητε τῆς ὑψηλοτέρας φωνῆς (φθόνος γὰρ οὐδεὶς ἀναϐάσεως), οὔτε ἡμεῖς τὴν ἑφικτήν τέως ὑμῖν ἐγκαλέσομεν, ἕως ἂν καὶ δι’ illi); ὁδου πρὸς τὸ αύτό φέρησθε καταγώγιονο ού γὰρ νικῆσαι ζητοῦμεν, ἀλλὰ προσλαϐεῖν ἀδελφούς, ὧν τῷ χωρισμῷ σπαρασἰδίᾳ τοῖς ἐρωτῶσι προθύμως ἀνωμολόγησε, σαφέστερον δὲ πεποίηκεν ἐν τοῖς πρὸς ἐμὲ λόγοις, πρὸς ὃν οὐδεν ἀπόρρητον ἧν αύτῷ περὶ τούτων ποινολογουμενῳ, μηδὲν ἁπλῶς τοῦτο ἀποφηνάμενος, ἀλλ’ , ὃ μηδέπω πρότερον πολλάκις πεποίηκεν , ἐπαρασάμενος εαυτω τὸ φρικωδέστατον, αὑτοῦ τοῦ Πνεύματος ἐκπεσεῖν, εἰ μὴ σέϐοι τό Πνεῦμα μετὰ, Πατρός καὶ Υἱοῦ ὡς όμοούσιον καὶ ὁμότιμον. Εἰ ὃέ μέ τις δέξαιτο κοινωνόν ἐκείνου κάν τοῖς τοιούτοις, ἐξαγορεύσω τι καὶ των τοίς πολλοῖς τέως ἀγνοουμένων, ὅτι τοῦ καιροῦ στενοχωροῦντος ἡμᾶς, ἑαυτῷ μὲν οἰκονομίαν ἐπέτρεψεν, ἡμῖν δὲ τὴν παρῥησίαν, οὓς ούὸεῖς ἔμελλε κρίνειν, οὐδὲ αποϐάλλειν τῆς πατρίδος ἀφανείᾳ τετιμημένους, ὡς ἐξ ἀμφθῖ τέρων ἰσχυρὸν εἰναι τὸ καθ’ ἡμᾶς Εύαγγέλιον· Nam quod Ι)
32:coo.31924054869296_ocr:022GREEK	NAΙ) 3 5 ΡΒᾸ in his verbis :
32:coo.31924054869296_ocr:025GREEK	Tivs; δὲ οἱ ἅγιοι καὶ ἐν ποίοις λόγοις τὴν ὃιδασδαλίαν πεποίηνται, εἰπεῖν οὐκ ἔχει· ραι Ξῷῖςῖέειιηίν Patrem ,ΡΨ ,μέροηέ ἀίfﬁc? ειτ τρειδ δαισιν · ν---ν--ν ι nn:
32:coo.31924054869296_ocr:026GREEK	,μιψζιωη υ..ι ιοεω, xvn, ἀδελφὰ ἀλλήλοις ὁμοούσια λέγεται, ὅπερ τινὲς ὑπειλήφασιν · ἀλλ’ ὅταν καὶ τὸ αἴτιον καὶ τὸ ἐκ τοῦ αἰτίου τὴν ὕπαρξιν ἔχον τῆς αὐτῆς ὑπάρχῃ φύσεως ὁ μοούσια λέγεταιο ξεῗέ
32:coo.31924054869296_ocr:027GREEK	NAἀδελφὰ ἀλλήλοις ὁμοούσια λέγεται, ὅπερ τινὲς ὑπειλήφασιν · ἀλλ’ ὅταν καὶ τὸ αἴτιον καὶ τὸ ἐκ τοῦ αἰτίου τὴν ὕπαρξιν ἔχον τῆς αὐτῆς ὑπάρχῃ φύσεως ὁ μοούσια λέγεταιο ξεῗέ Η ΡΒἉΕ ΡΛΤΙΟ.
32:coo.31924054869296_ocr:028GREEK	42 καὶ ἁχρονον τῆς δημιουργίας εἴρηται τὸ, ‹‹ Ἐν ἀρχὴ ἐποίησεν, ›› ἐπειδὴ ἀμερές τι καὶ ἀδιάστατον ἡ ἀρχή. Ὠς γὰρ ἡ ἁρχὴ τῆς ὀδοῦ οὔπω ὁδὸς, καὶ ἡ ἁρχὴ τῆς οἰκίας οὐκ οἰκία⁶ οὕτω καὶ ἡ τοῦ χρόνου ἀρχὴ οὐπω χρόνος, ἀλλ’ οὐδὲ μέρος αὐτοῦ τὸ ἐλάχιστον... Ἰνα τοίνυν διδαχθῶμιν ὁμοῦ τῇ βουλὴ σει τοῦ Θεου ἁχρόνως συνυφεστάναι τόν κόσμον, εἴρηται τὸ. (ι Ἐν ἀρχῇ ἐποίησεν »ὅπερ ἕτεροι τῶν ἑρμηνευτῶν, σαφέστερον τὸν νουν ἐκδιδόντος, εἰρήκασιν. ‹‹ Ἐν κεφαλαίῳ ἐποίησεν 6 Θεὸς, ι» τουτέστιν 4. n. 5 p. 37 ; Ἵνα μὴ τῷ ἡλίῳ τὴν τοῦ ἀναξηραίνειν τήν γῆν αἰτίαν προσθῶμεν, πρεσϐυτέραν τῆς τοῦ ἡλίου γενέσεως τήν ξηρότητα τῆς γῆς ὁ Δημιουργός ΡΑτειοι.. Gn. XXXII. 43 ΡΒνιΕΡΑΤΙΟ .
32:coo.31924054869296_ocr:029GREEK	44 ΡΒΛΕΕἋΤΙΟ.
32:coo.31924054869296_ocr:030GREEK	NAΡΒΛΕΕἋΤΙΟ. -.
32:coo.31924054869296_ocr:032GREEK	.η ...ιι ,ιω-,ιλ κη... ,πη-ης.. ηληυυιεην. ἐν. ισηιιη ..-κ τεπλὴροφορησθαι πᾶν ῥῆμα Θεοῦ ἀληθὲς εἶναι καὶ δυναλέγων, Μεῖζον τοῦ ἱεροῦ ὧδε, παιδεύει ἡμᾶς ὅτι τοσοῦτον ἀσεϐέστερος ἔστιν 6 τολμῶν ἱερατεύειν τό σῶμα τοῦ Κυρίου τοῦ δόντος ἑαυτὸν ὑπὲρ ἡμῶν προσφορὰν καὶ θυσιαν τῷ Θεῷ εἰς ὀσμὴν εὐωδίας, ὅσον τὸ σῶμα τοῦ μονογενοῦς Υίοῡ τοῦ Θεοῦ ὑπερέχει κριῶν καὶ ταύρωνο οὐκ ἐκ συγκρίσεως ἀσύγκριτος γὰρ ἡ ὑπεροχή· Dominus τοῦ ἱεροῦ ὧδε, κατά τὴν τοῦ Κυρὶου φωνὴν, τοσούτῳ δεινότερον καὶ φοϐερώτερον τὸ ἐν μολυσμῷ ψυχῆς τολμῆσαι ἅψασθαι τοῦ σώματος τοῦ Χριστοῦ, παρὰ τὸ ἅψασθαι κριῶν ἦ ταύρων, τοῦ Ἀποστόλου εἰπόντος· (reg.
32:coo.31924054869296_ocr:033GREEK	8, p. 26-0): Ὀτι οὐ δεῖ διακρίνεσθαι, καὶ διστάζειν ἐπὶ τοῖς ὑπὸ τοῦ Κυρίου λεγομένοις, ἀλλὰ ΑΤΙΟ.
32:coo.31924054869296_ocr:034GREEK	54 Δύναται δὲ xui ζωὴν λέγειν, ἦν ζῇ ὁ Χριστὸς, τὸν λόγον τοῦ Θεοῦ ἔχων ἐν ἑαυτῷ ⁸ καὶ ὅτι τοῦτό ἔστι τὸ δηλούμενον, ἐκ τοῦ ἐπιφερομένου εἰσόμεθα.
32:coo.31924054869296_ocr:035GREEK	Καὶ τρώγων με, φησὶ, ζήσεται δι’ ἐμέ. Τρώγομεν γὰρ αὐτοῦ τὴν σάρκα, xui πίνομεν αὐτοῦ τὸ αἷμα, κοινωνοὶ γινόμενοι, διὰ τῆς ἐνανθρωπήσιως xui τῆς αἰσθητῆς ζωῆς, τοῦ λόγου καὶ τῆς σοφίας ⁶ σάρκα γὰρ καὶ αἷμα πᾶσαν αύτοῦ τὴν μυστικὴν ἐπιδημίαν Β ὠνόμασε, καὶ τὴν ἐκ πρακτικῆς xui φυσικῆς καὶ Θεολογικῆς συνεστῶσαν διδασκαλίαν ἐδήλωσε , δι’ ἧς τρέφεται ψυχὴ, καὶ πρὸς τὴν τῶν ὄντων τέως Θεωρίαν παρασκευάζεται · Potest autem et vitam μεν ἔτερα ὡς μεγάλην ἔχοντα πρὸς τὸ μυστήριον τὴν ἰσχύν, ἐκ τῆς ἀγράφου διδασκαλίας παραλατὸ ἅγιον ἐφ’ ἡμᾶς τοὺς δούλους σου ἐπὶ τὰ προκείμενά σου δῶρα ταυτα, xui ἁγιάσαι καὶ ἀναδεῖξαι ἅγια ἁγίων · xui ποιήσῃ τὸν μὲν ἄρτον, τοῦτον γίνεσθαι εἰς τὸ ἅγιον σῶμα αὐτοῦ τοῦ Κυρίου δέ καί Θεοῦ καὶ Σωτῆρος ἡμῶν Ἰησοῦ Χριστοῦ, εἰς ἄφεσιν ἁμαρτιῶν, καὶ εἰς ζωὴν τὴν αἰώνιον τοῖς ἐξ αὑτοῦ μεταλαμϐάνουσι· τὸ δὲ ποτήριον τοῦτο, τὸ τίμιον αἷμα τὸ τῆς Καινῆς Διαθήκης αὑτοῦ τοῦ Κυρίου δε καὶ Θεοῦ καὶ Σωτῆρος ἡμῶν Ἰησοῦ Χριστοῦ, etc.: νδι
32:coo.31924054869296_ocr:036GREEK	NAνδι 59 ΡΗᾹ Ὀ μετανοήσας ἐπὶ ἁμαρτήματι, καὶ πάλιν εἰς τὸ αὐτὸ ἕμπεσὼν ἁμάρτημα, τί ποιήσει (reg.
32:coo.31924054869296_ocr:037GREEK	289); Qui paeniraptu : ' Ο δὲ δι’ ὑφαιρέσεως λανθανούσης σφετεριζόμενος τὸ ἀλλότριον, εἶτα δι’ ἐξαγορεύσεως τὸ πλημμέλημα αὐτοῦ τῷ ἱερεῖ φανερώσας, τῆς περὶ τὸ ἐναντίον τοῦ πάθους σπουδῇ θεραπεύσει τὴν ἁῤῥωστίαν· λέγω δὲ διὰ τοῦ τὰ προσόντα παρέχειν τοῖς πένησιν, ἵνα τῷ προέσθαι ἁ ἔχει, φανερὸς ’γένηται καθαρεύων τῆς κατὰ πλεονεξίαν νόσου· εἰ δὲ μηδὲν ἔχοι, μόνον δὲ τὸ σῶμα ἔχοι, πού-εὕει ὁ Ἀπόο-το).ος, διὰ τοῦ σωματικοῦ κόπου τὸ τοιουτον ΤΟΥ ΕΝ ΑΓΙΟΙΣ ΠΑΤΡΟΣ ΗΜΩΝ ΒΑΣΙΛΕΙΟΥ ΑΡΧΙΕΠΙΣΚΟΠΟΥ ΚΑΙΣΑΡΕΙΑΣ ΚΑΠΠΑΔΟΚΙΑΣ ΠΕΡΙ ΤΟΥ ΑΓΙΟΥ ΠΝΕΥΜΑΤΟΣ ΠΡΟΣ TON ΕΝ ΑΙἸΟΙΣ ΑΜΦΙΛΟ Α Προοίμιον, ἕν ὅτι ἀναγκαῖαι-(21)ἀὶ περὶ τῶν μικροτάτων μερῶν τῆς θεολογίας ἔρευναι.
