1:coo.31924054872803_ocr:003GREEK	V τεξ , λ \ -η ιτ ς2 ~ Α (Qui; ν j ’ κ π ᾖ ,μγι ¹ , ’ ¹ ’ζ · -‹. ιΪί ’ _ ἶ ah ἓ , \Ν I; λ σιμ-ἣῗκχ ’ἔτη /"’ " ι’ Γ. ‘F “ ηπ “‘5 PV"? Γ ἵ ἴἰέὶ ί ιν. 1 ὢ ’ ἰ , xi”) λ’ -λ ν it:ἕᾟῇν Χ ἤελξτιη ί 1’λ ί ³ ‘ak‘r ι ἱ .' , ‘ ,μ ’μῖνξῆ Ὗ μ κ τ ’ἱ 1 ‘_-, (' ξ’ ‘τ ι ,ἓ At; ξ › .ﬂ Δ rvi“ θ κκ εγ ’³ηὲἷᾷ 9‘0 τ (ἠχὼ\Z Υ ξ ἃ.. 1 , Ι. τ alii“, μ’ Γπ γ -ιςεἉ τ _“ ι :\'-., ι ’δίςεε ἲ wax, ' ἤδη λῃ \“ ⁵ · “ λᾎ λ Α’ίελ ἐμ . “ ᾖ λῇ Υ χ R719."-r κλει( η ῨῨΎῨ ξ’ ’κη π’ ιη Ι ν, ἶῗνί ν '7 κέ 174:, 77:, ν 77:: Tr, in γη 77 ’ λη, \ ,  γι 1η “ μ .I‘ ‘ ν Ψ Μζέλῗὲ πμ MHR λη “V2 η⁴ ἴ ‘t’l ‘ ιη ῖ⁴ ι ξέ³⁹ v/ μίἵι, ne, λη, ἢ ι 1 ι η ιι πρυ μένπλη-,τρίβῳ η χ , ’.ι³ ⁷. λ λ ’ ‘ ἶ( Γ ῖέῖῖῗπξῖ 1153: ru’i— ,εῖν Β 3‘ ν ’ν ﬁ“ ' “'1‘. , . η 1 ε κῇ UT.“ ΓῘ Ἴ ῖῑ τ ’⁷ ι’ ῖ ’γ r1 ξ ·’ “ii⁵ ,ἐτῖιέ > Ἴ ν Emi: “:7: iiii: η κῖκγἾῙπίι ’1 L L\Ἃ ‘_ ξ ξ , ¹ ἲ πνέκ (ᾗ ν . ἲ, η *ἣν ρ_.' ,η ‘,λ ηε Α» μηλί .. Ῐίνίηί, ,. ,λ ,, __ ﬂ Ι μ’ 1}” Ν Mf ⁷] γ πυκνὴν Γ ηρ*ῖγῖ ί ν ηῖῖκηη ri" if 7777 ἐ 7 κη· “ “‘C‘s“ θ ··¹1 ἧντ’. ~ } ἠ’νὴ ε, ἲ βίη κκκίίντ ίηκζῖκεμ .' Ἃ. η η . ἠέ ﬁ «Ἴ “Et? ’ἐ ᾖξειῖ · ἒξ Ἰ ” ητηῒ ’Δίιιὶ ὃ· ’Ἰ’· .. ἧς» εί “ E‘ ﬁ“ . “ ι ” ' ιτῗέ Ws" Ε’ῖιίηξτίξςι i;, _~ ’ δ '\ ,ν τί ξίν νγ , , ί. *ίτϋ ⁷ rm." ' ἠ η, . ⁷³⁵⁷λ ,1" η ⁵ γη “ τ λ’ ⁴ λῖν-κηρξὲἥέ ’ί ” Ἐξ, ,r' λ .. ’κ’ is, _ λςξὲ -J.',δ’ , η ι κτλ η ι’, · τ τ ς κβ( ζξέδμ 'η. ⁴ ἶ ι λ νέης β --ητ κέδν’-Ι in“; γεῆιἰί γ Α,μὶ.· ηῗ· ς-η *λ ι ζ» Ἃ ά . ⁸ ’‘1 . ;. ι ι⁴ ν ’ ⁴ ’ ν τ ” ι’ ⁷ ' ⁷ »ν ⁴’¹’η ⁷ ν η ν , “. ⁵ξ’.⁵;’ῗῖ,έ ς Ι, ":13" κ), ’ξ’ ιτ λι ⁸ _ ἐξ», 1ἐκ η , . βξἈ ~ , ε πι Ι ι ‹ -γ η . , Ὢὲηᾋκ νβ ‘5 . £3149,“ ﬁnge; ._ (τίς 1\\~»\ λι Ἃ. η Ι ἧς ἐκ ί χιε ,ἐφ’ 7 ᾧ η ν 1, , ..ιὶ \ ί, . φιν ῖ-νηἱ λ n' rm: ‘Ἴ ν . Aeli Ι fl; ὀἷ ’ί λ’ Κ δέ Δ,κ , , ,ἰξ , » ι η , . ι, κ , ἰμι~ ~ κ Δὶδ ,ψωμῷ-η,ψ Ὗ “ "’1":
1:coo.31924054872803_ocr:028GREEK	Ix Ὠς λέγει καὶ σί),Δ ἅγιος Κλήμης · Κᾶν Δστερρανιῖιτ-ςιε τις, ἀλλὰ σπουόάσῃ μὴ ιμακρὰν εὐρεθῆναι τῶν στειρανουμένων . Τούτου ἐπιστολή ἡ μία γνησία Κορινθίοις φέρεται, ὡς ἀπὸ τῆς Ῥωμαίων Ἐκκλησίας γραφεῖσα,Δ στάσεως is συμϐιξσης τότε, ὡς μαρτυρεῖ Ἠγήσιπη :oc, ἥτις καὶ ἐκκλησιάζεται. η ΡΗοτιοε, Bibl Οὗτός ἐστιν ὁ Κλήμης, περὶ οὗ φησιν ὁ θεσπέσιος Παῦλος ἐν τῇ πρὸς Φιλιππησίους Ἐπιστολῇχ Μετὰ καὶ Κλήμεντος καὶ τῶν λοιπῶν συνεργῶν μου, ὧν τὰ ὀνόματα ἐν βίϐλῳ ζωῆς. Οὗτος καὶ ἐπιστολὴν ἀξιόλογονι πρὸς Κόρινθίοός γρἇφει, ἶίτις παρὰ πολλοῒς-ἀπι). Ἰητ--_..----..κο-....ν-νυι-υιιυ uu υυιιιιιιιιυθὂοχῆς ἠξιώθη, ὡς καὶ δημοσίᾳ ἀναγινώσκεσθαι, Ἠ δὲ λεγομένη δευτέρα πρὸς τοὺς αὐτοὺς, βπ νόθος ἀποδοκιμάζεται ο ὤσπερ ἐπιγραφόμενος ἐπ’ ὀνόματιαὑτοῦ Πέτρου καὶ Ἀπίωνος πολύστιχος διάλογος, Τοῦτόν φασιν οἱ μὲν δεύτερον μετὰ Πέτρον ἐπισκο-.-χ .μ. _._ κ πῆσαι Ῥώμης, oi δὲ τέταρτον ⁸ A‘tvov γὰρ καὶ Ἀνάκλητον μεταξὺ αὐτοῦ καὶ Πέτρου Ῥώμης ἐπισκόπους δικγεγονέναν τελευτῆσαι δὲ αὐτὸν τρίτῳ ἔτει Τραϊανοὺ. Ἀνεγνὼσθη βιϐλιδάριον, ἰν Κλήμεντος ἐπιστο. λαὶ δύο πρὸς Κορινθίους ἐνεφέροντο⁶ ὧν ἡ πρώτη δι’ αἱ· τῐας minoia; ἄγει, ’στάσεσι καὶ ταραχαῖς καὶ σχί-σμασι τὴν πρέπουσαν αὐτοῖς εἰρήνην καὶ ὁμόνοιαν ἐμπολιτεύεσθαι, λύσαντες, καὶ παραινεῖ παύσασθαι τοῦ κακοῦ. ’.ἁπλοῦς δὲ κατὰ τὴν φράσινξ καὶ σαφής ἔστιν, καὶ ἔγγὺς τοῦ ἐκθησιαστικοῦ καὶ ἀπεριέργου χαρακτῆρος. Αἰτιάσοιτο δ’ ἄν τις αὒτὸνκέν ταύταις · ὅτι τε τοῦ ὠκεανοῦ ἔξω κόσμους τινὰς ὑποτίθεται εἶναι “ καὶ δεύτερον ἴσως, ὅτι ὡς παναληθεστάτῳ τῷ κατὰ τὸν Φοίνικα τὸ ὄρνεον ὑποδείγματι κέχρηται ο καὶ τρίτον ὅτι ἀρχιερέα καὶ προστάτην τὸν Κύριον ἡμῶν Ἰησοῦν Χριστὸν ἐξονομάζων, οὐδὲ τὰς θεοπρε-“ πετς καὶ ὑψηλοτέρας ἀφῆκε περὶ αὐτοῦ φωνάς ο οὐ μὴν οὐδ’ ἀπαρακαλύπτως αὐτὸν οὖδαμῆ liv τούτοις βλασφημεῖ, Ἦ δὲ δευτέρα καὶ αὐτὴ νουθεσίαν καὶ παραίνεσιν κρείττονος εἰσάγει βίου, καὶ ἰν ἀρχῇ Χριστὸν τὸν Θεὸν κηρύσσει, Πλὴν ὅτι ῥητά τινα, ὡς ἀπὸ τῆς θείας Γραφῇ, ξενίζοντα παρεισᾶγει ° ὧν . _. . ._ . ε , ,ς .. . , ι μ , ι . . . οὔδ’ ἡ πρώτη ἀπήλλακτο παντελῷς, Καὶ ἑρμηνεία δὲ ῥητῶν ’τινων ἀλλοκότους ἔχει ⁸ ἅλλφς ’ξε δέ 3:
1:coo.31924054872803_ocr:029GREEK	1“ ἂν ίιῦτατς νοήματα ὲῤῥιμμένα πως, καὶ οὗξσυνεχῆ τί ἆκολουῧίαν ὑπῆρχι φύλὰττοντα. Κλήμεντος Ῥώμης. Δίκαιον οὖν καὶὶξέσιοιγ... καὶ στὰσιιὲ τοῦ ἀπαλλοτριῶσαι ἡμᾶς τοῦ καλῶς ἔχοντ-(ξε ἀπ’ epes... Κολληθῶμεν οιξν τοτὶς addici; κς απειι usu. υ vv... .-ν--..ῚηΤη γ _δικαᾷοις · εἰσὶ Ἑὲ οὗτοι ἐκλεκτοὶ τοῦ Θεοῦ. Γέγραπτς ξολλᾶσθαι τοῖς ἁγξοις, "5":1 οἱ fol-Quin? 45:01:, ἁγιασθήσονται· Kal δ, mpm ,ηλέγῗι ⁸ ἒ( ίὴωῐςεξῑίεθαὶα qui έιιςξ αᾴὴίενεηεβαησίίβοαὺτιηξιῐιολᾶήσαζτι τοῦ. -1131de 1:03.“ Ἐἴθ’-ξένιοςὲ ι κειμηλίοϋ τιμαλφεστάτου, in membranis laceris, ὅλίοις ἐπιποιεϊν, ἀλλὰ βούλεται μένειν αὐτὰ ἐπὶ τῆς >ὠτης χειρὸς, ὅπως ποτὲ ἔσχε τύχης, ἢ τέχνης), nihil τῶν ἄλλων ἁρεὲῷνθησαυροφυλάκίοδ est.
1:coo.31924054872803_ocr:030GREEK	0uo υ , τ ἡ ν) -γ --ν-ννυ· -ν νννν υσιυυυι νισι) ubi; cumest ἐγγράφως ναὶ ὰγράξως τὸν· λόγον κηρύττειν, voce gnem omnibus εὐκοσμίαν κκὶῂεὐταξιαν, υέήθτηεηδὶοβηέῖη ad Romanos: Ἠ 7 utam; ὑμῶν καταγγέλλεΒητε ἓν αὖτῷ,ἐν παντὶ λόγῳ καὶ πάσῃ γνώσει, ὥστε 5μᾶς μὴ ὑστερεῖσθκι-ἐν μηδενὶ χαρίσμτιυέι,’.ςθά non est λοπριπές, ἀπροσωπολήπτως ῥιψοκινδύνως, αὖτεπαίνετος, ἐργοπαρέκτης, ἀξιαγάπητος, μωμοσκοπεῖσθιι, ἐτεραχλινές, ἐτερογνὼμον, et, quo Lucas utitur, cibus κλήσεως, χλητῶν, ἐκλεκτῶν, sensu plena natas.
1:coo.31924054872803_ocr:031GREEK	Nam quod ἁργιιρέα, λευίτας et λα’ίκοὺς " ιν ' ' η ην L' ν ιν , ’ δ -ι η βε monet, μὴ γάρ τις ὑμῶν πασχὲτω ὡς conﬁgi;
1:coo.31924054872803_ocr:032GREEK	υ sui:
1:coo.31924054872803_ocr:033GREEK	ῥΑΡΑιι τῆς Ῥωμαίων Ἰεἶκκλησίοις³ aut ut alibi loquitur, ἐκ προσώπου τῆς Ῥωμαίων ἸΞκκλησέας, eamque dictionibus, μετὰ σαφηνείας καὶ ἁπλότητος κατὰ τὸν ἐκκὶησιαστικὸν τῆς ἑρμηνείας τύπον, quodque in κατὰ τὴν φρέσιν καὶ σαφὴς, καὶ νουθεσίαν καὶ παραίνεσιν κρείττονος βίον, mi ἰν ἁρχῆ τὸ κήρυγμα Χριστοῦ τοῦ Θεοῦ.
1:coo.31924054872803_ocr:034GREEK	Solam, nimirum, ll222 ἐξευτξξιίῖνέἐηια me?“ vas;
1:coo.31924054872803_ocr:035GREEK	t9 ab θτιεπ Ῐῖῖξὲἓὲεἱρξξῗξ Ξέ1ξ1,(ἰίῆ’ξέτξείξοηιιξηυε,ε .2 Ve ηδιον-ἔκηε. ---Α-ζ..; -Ι -.Α --__.κ ,4 I . ιο tn, ΩηοόΙὸοιε ὄπ libum Da Ωηίιιίι.. ρ ιη... (an ι. μ , η ⁸ . Ἴη, ,ν ...η-μ..-υ. υιυιυ um. uo uwulu ; ·. . , , _ ν ~ η π---ν-ν-ν-νπ ιν-νυ-ιννυυυηωη ιι ww as num tateυ μ ν ιη-.. τηΰπγ.. νων "un una mus"κοασπέδου τὸ ﬂmmeum νινρῖιηνι-η, ης ΙΑηηη ι......;.-_ _ _ κρασπέδου τδ ὕφασμα γινώσκειν,ηἱ longe turpius sesenim ηΙιηΛοοίη ιι ...Λυδὴ :11“... ,πμ ,ηιμ η -. 5 03.10;ou γαιξψιι δυυδιωιιιαηι corporis ροδεε.. . . , , --Ϊυ-ῖνη, oo uuu ω μικωηωυυσ,ηιηιι ma num. ὗθα hami εmind rnﬂnrrnohnnnm οηιιοησι ΜΛΔ-³η ..-η-η] -_ ’ θδαθνθσί. . . ζ -_-__,--_--w νσ-ιιιυυιυινιιυ υι υ unua 11161050-' ο ί ””’“.’“”⁷“ ’ ’⁵⁸ "“'"""’"' ονιιυυηι ὗῠυιῦΙΙιΙὶιΙη' ⁸ ο . _ — :"'“v ¹ VH." "'1‘." ³⁸⁸ ου· ιιιυησ υΙΙΙΙΙΙυΙΙΙ eral. , ,ν , κ ν ιν. mm ωυιηηηωησ, ,,,, .. ,. . . _ ι , ν ..νηηυυ-..μιιηυιι υμιμιιαιιιυθ ωυιυ luco; unae et tamanum et mirabile sit πρηςοωιιη... οε ..θυμω Μυκη... _-_ --τη , . ... . , Parva Pﬁf Ettgfiflifii‘ﬁfi‘:“31”_€.°I:P“{‘3:-.¥itsat"? εξξηιξηιειγῑι “Ihm”? ίεθηίοεε δάιηοειιιωὶυεει ’ἐι .
1:coo.31924054872803_ocr:039GREEK	.--:.I-_. --.Ι μ , ι· ,ο . -ι I ο ι ι ογ. ο ι ο ιερὶάγάπτζξζ 65 ΡΗΟΟΕΜΙΑ νΑΒΙοΡυυΜ.
1:coo.31924054872803_ocr:040GREEK	66 786, ἡ πρὸς Κορινθίους Ῥωμαίων ἐπιστολή, rit Κλήμης, τὸ τοῦ Χριστοῦ κλῆμα.
1:coo.31924054872803_ocr:041GREEK	Equidem ab Euseγουμὲνη, ἇνωμολογημὲθη παρὰ πᾶσιν, ab omnibus uno sisse : Αὶτιάσοιτο δ’ ἅν τις αὒεὸν ἐν τούτοις,ηοη autem γραψεν, οὔτε τοῦ Ῥωμαίου Κλήμεντος, πλὴν δύο καὶ verbis expressum :
1:coo.31924054872803_ocr:042GREEK	’ἰστέον δ’ ὡς καὶ δευτέρα τις εἶναι λέγεται τοῦ Κλήμεντος ἐπιστολὴ ⁸ οὗ μὲν ἔθ’ ὁμοίως τῇ προτέρᾳ καὶ ταύτην γνώριμον ἔπιστάμεθα, ὅτι μηδὲ τοὺς ἀρχαίους αὒτῇ κεχρημένους ἴσμεν. Quae ἦ λεγομένη δευτέρα πρὸς τοὺς αὐτοὺς, ὡς νόθος nuncupat ὁμολογουμένην,ἀνωμολογτ,μένην παρὰ πᾶσιν. Καί ἄλλη δὲ αὒτυῦ φέρεται ἐπιστολή, τῆς προτέρας κατὰ πολὺ ἀποδέουσα ⁸ περῖ ἧς δ α’δτάς φησιν Εὖσὲϐιος, μὴ ἐν ἐπιστήμῃ ταύτης rei»: ἀρχαίους sint. Eusebio, mi μὴν οὗτε Παντλίνου τοὺς πόθους ἀνέΡΒΟΟΕΜΙΑ VARIORUM . καταστάσεως τὸ τέλος ἐστὶν ἡ διὰ τοῦ πυρὸς κρίσις τῶν ἀσεϐῶν, καθά φασιν αἱ γραφαὶ προφητῶν τε καὶ ἀποσολων.
1:coo.31924054872803_ocr:043GREEK	ἔτι δὲ καὶ τῆς Σιϐύλλης, καθώς φησιν 6 μακάριος Κλήμης ἓν τῇ πρὸς Κορινθίους ἐπιστολῇ, etc. Si ὅτι καθάπερ Ἰουδαίους σώζεσθαι ἐϐουλετο 6 Θεὸς, τοὺς ’προφήτας διδοὺς, οὕτως καὶ Ἐλλήνων τοὺς δοκιμωτάτους, οἰκείους αὐτῶν τῆ διαλέκτῳ προφήτας ἀναστήσας, ὡς οἷοί τε ἦσαν δέχεσθαι τὴν παρὰ Θεοῦ εὐεργεσίαν, τῶν χυδαίων ἀνθρώπων διέκρινεν, Βηλώσει πρὸς τῷ Πέτρου κηρύγματι, 6 ἀπόστολος Κὲγων Παῦλος. Λάϐετε καὶ τὰς Ἑλληνικὰς βίϐλους, ιπίγνωτι Σίϐυλλαν, ὡς δηλοῖ ἕνα Θεὸν καὶ τὰ μὲλαΚοντα iacebat ° καὶ τὸν ’Υστὰσπην λαϐόντες ἀνὰγνωte, καὶ εὑρὴσιτε πολλῷ τιιλαυγὲστερον καὶ σαφέστε›ον γεγραμμὲνον τὸν ι’ίὸν τοῦ Θεοῦ, καὶ καθὼς παιάταξινν ποιήσουσι τῷ Χριστῷ πολλοὶ βασιλεῖς μιΙοῦντες αὐτὸν, καὶ τοὺς φοροῦντας τὸ ὄνομα αὐτοῦ⁹ ιαὶ τοὺς πιστοὺς αὐτοῦ, καὶ τὴν ὑπομονὴν, καὶ τήν ταρουσίαν αὐτοῦ. Εἶτα ἑνὶ λόγῳ πυνθὰνεται ἡμῶν · ’¹Ολος δὲ 6 κόσμος καὶ τὰ ἐν τῷ κοσμῳ,τίνος; οὐχὶ τοῦ ad praecedentia, οἰκείως αὐτῶν τῇ διαλὲχτῳ προφὴτας, ὶ.
1:coo.31924054872803_ocr:044GREEK	-. ,γ , ι · 1-, ριις. Bpo’mcw, πύργον ᾠκοδόμησάν τινες ὑψηλότατον , υὸκέτι γὰρ παρὰ σεῖο τι) τῆς φιλοορέμμονος ὖλκς Ψεύδῃ προφανῶς· οὐδὲ γὰρ Adiecit-ora To πῦρ κολάζον τοὺς κατακεκριμένους.,, ι \ ι ιι -.· ,ιλ τ τι Κάγὼ γάρ ἂν εὖξχιμι τούθ’ οῧιως ἔχειν³ Οὒκαϊς μεγίσταις σφαλμάτων ἐστινίξλένοξ, ³μ-μςίζονος χρήζουαι φιλανθρωπίαξ. Ἀλλ’ αἰσχυνέσθωῌφληναφῶν’ῼριγένης, Πέρας γενέσθαι τῶν κολάσεων λένων, ΡΑτειοι.. Gn. Ι . ΞΜ l ΡΑΡΑΜ 76 τῆς πρὸς Κορινθίους β’.
1:coo.31924054872803_ocr:045GREEK	lu ΙΙ ad Corinthios. zt καθόλου τῶν λυπηρῶν ιέριςθνυητ, et sanitas plus εριϐολὴ γίνεται. υάάίι in causnm et maνίων ἂγκθῶν, καὶ ὅτι χρὴ τῶν παρόντων τὰ μέλλοντα teriam omnium εγίειίαη Μ ΙΙ. sic laudat ξ Ἀλλὰ εὰν τῇ πρὸς Κορινθίους Ῥωμαίωε ἐπιστολῇ ὠκεανὸς ἀπέραντος ἀνθρώποις γέγραπται,
1:coo.31924054872803_ocr:046GREEK	NAsic laudat ξ Ἀλλὰ εὰν τῇ πρὸς Κορινθίους Ῥωμαίωε ἐπιστολῇ ὠκεανὸς ἀπέραντος ἀνθρώποις γέγραπται, TEM Ι ΡΑΡΑΜ 80
1:coo.31924054872803_ocr:047GREEK	NATEM Ι ΡΑΡΑΜ 80 Hist.
1:coo.31924054872803_ocr:048GREEK	θεοὶ. c.‘38 : ἰοτέον δ’ ὡς καὶ δευτέρα τις εἶναι Ἇῖετετκι τοῦ Κλήμεντος ἷεπιο’τολὴ⁷ οὔ μὴν ἔθ’ ὁμοίως τῇ προτέρᾳ v.1". τειύτην γνώριμον ὶπιστάμεθα,ἷ5τι δὲ μὴ τοὺς ἀρχαίους αθ)τῇ κε χρημένους ἲ’σμεν.8ιεὶθηάηηι autemest sic loquitur ε Καὶ ἄλλη δὲ αὗτοῦ φέρεται ἐπιστολή τῆς προτέρῃ, κατᾶ πολὺ ἆποδέουη³ περὶ ἧς ὁ αὖτός φησιν Εὒπέξιος, μὴἐν ἐπιστήμῃ ταύτης τοὺς ἀρχαίους εῒνκι. TEM Ι ΡΑΡΑΜ 84 .
1:coo.31924054872803_ocr:049GREEK	.Α ,ιιι-...Αλιηυιηη -_.:_._i_ιι .. Μ συξρςίρνψάω ερεεροιω λααά immo.
1:coo.31924054872803_ocr:050GREEK	NAΜ συξρςίρνψάω ερεεροιω λααά immo. ιερουςταιλήμ⁵ ΠΡΑ pro πατέρα.
1:coo.31924054872803_ocr:051GREEK	Ulii vero codex ms, TEM Ι ΡΑΡΑΜ Cap.
1:coo.31924054872803_ocr:053GREEK	Ῑ. Γυναιξιν τε παρηγγέλλετε, στεργυύσας καθηκόντως τοὺς ἄνδρας ἑαυτῶν -— πάνυ σωφρονουσας, Cap. ν. [Ιέτρος οὕτω ματυρήσας ἐπορεύθη εἰς τὸν ὀφειλόμενον τόπον τῆς δόξης. Cap. VII. Διὸ ἀπολείπωμεν τὰς κενὰς καὶ ματαίας φροντίδας, καὶ ἔλθωμεν ἐπὶ τὸν εὔκλεῆ καὶ σεμνὸν τῆς ἁγίας κλήσεως ἡμῶν κανόνα. Cap. IX. Διὸ ὑπακούσωμεν τῇ μεγαλοπρεπεῖ καὶ ἐνδόξῳ βουλήσει αὖτοῦ [Θεοῦ] ματαιοπονίαν, τήν τε ἔριν, κ, τ, λ. cap. ΧΙΙΙ. Μεμνημὲνοι τῶν λόγων τοῦ Κυρίου Ἰησοῦ, οὓς ἐλάλησεν διδάσκων, ᾧ μέτρῳ μετρεῖτε, ἐν αὐτῷ μετρηθήσεται ὑμῖν, Cap. ΧΧῙ. ’Ἷδωμεν πῶς ἐγγύς ἐστιν [ὅ Κύριος] καὶ ὅτι οὐδὲν λέληθςν αὑτὸν τῶν ἐνναιῶν ἡμῶν, οὐδὲ τῶν διαλογισμῶν ὧν ποιούμεθα ἆρευνητῆς γάρ ἐστιν ἃννοιῶν καὶ ἐνθυμήσεων, Ibid. Τοὺς νεοὺς παιδεύσωμεν τὴν παιδείαν του φόϐου τοῦ Θεοῦ⁶ τὰς «μνατκας ἡμῶν ἰπὶ το ἀγαθὸν διορθωσώμεθα’ τὸ ἁξιαγάιτητον τῆς ἁγνείας ἦθος ἐνδειξσίσθωσαψ — τὴν ἀγάπην αὒτῶν μὴ κατὰ προσϐλίσεις, ἀλλὰ πᾶσιν τοῖς φοϐουμένοις τὸν Θεὸν ὁσίως, ἴσην παρεχέτωσαν. ΚΛΗΜΕΝΓΟΣ Ε.
1:coo.31924054872803_ocr:054GREEK	. . . . . ΛΗ Α inscriptam, ΚΛΗΜΕΝΤΟΣ ΠΡΟΣ ΚΟΡΙΝΘΙΟΥΣ καὶ δευτέρα τις εἶναι λέγεται τοῦ Κλήμεντος ἑπιο στολή οὗ μὲν ἔθ’ ὁμοίως τῇ προτέρᾳ καὶ ταύτην γνώριμον ἐπιπτάμεθκ, ὅτι μηδὲ τοὺς ἀρχαίους αὖτῇ κεχρημένους ’ἐπμε·ι.
1:coo.31924054872803_ocr:055GREEK	δεὶθηόιιω est autem,quod et seι . ' (ᾗ) ρᾀῑζθοριηιίικῐιῐ, cap. 58. 295.
1:coo.31924054872803_ocr:056GREEK	2; αὖτοὺς, ὡς νόθος ἁποδοκεμέςεται. α Quae auten στολὴν, ἣν ἕξομεν ἀεί ποτε ἀναγινωσκοντες νθυθετεϊσθαι, ὡς iui τήν προτέραν ἡμῖν διὰ Κλήμε-τος γραιΓυ8 ίΈ9) ε Καὶ ἄλλη δὲ αὐτοῦ φέρεται ἓπιστολὴ, τῆς προτέρας κατὰ πολὺ ἀποδέουτα· περὶ ἧς ὁ αὐτός "17mm Εὒςὲϐιος, μὲ ἐν ἐπιστήμη ταύτης τοὺς ἀρχαίους epistolam ; quam τὴν προτέραν διὰ Κλήμεντος γραα hisce verbis ε Τὴν σήμερον οὖν Κυριακὴν ἁγίαν ἡμέΕΜ l ΡΑΡΑΜ 100 στάσεως τὰ τέλος ἐστὶν, ἡ διὰ τοῦ τυρὸς κρίσις τῶν ἀσεϐῶν, καθὰ φασιν αἱ γραφαὶ προγῃτών τε καὶ ἁποστόλων, ἔτι δὲ καὶ τῆς Σιϐύλλης, καθώς φησιν ὁ μακάριος Κλήμης ἐν τῇ πρὸς Κθρινθίους ἐπιστολῇ⁷ κ,τ,λ,
1:coo.31924054872803_ocr:057GREEK	NAΕΜ l ΡΑΡΑΜ 100 στάσεως τὰ τέλος ἐστὶν, ἡ διὰ τοῦ τυρὸς κρίσις τῶν ἀσεϐῶν, καθὰ φασιν αἱ γραφαὶ προγῃτών τε καὶ ἁποστόλων, ἔτι δὲ καὶ τῆς Σιϐύλλης, καθώς φησιν ὁ μακάριος Κλήμης ἐν τῇ πρὸς Κθρινθίους ἐπιστολῇ⁷ κ,τ,λ, ι πρόγονος ἡμῶν (ἐϐασίλευσεν) ἕτη μβ ,(Πθὶηάθ David
1:coo.31924054872803_ocr:058GREEK	NAι πρόγονος ἡμῶν (ἐϐασίλευσεν) ἕτη μβ ,(Πθὶηάθ David τὰ παθήματι cat-3:
1:coo.31924054872803_ocr:059GREEK	00 ἦν πρὸ ὀφθαιλμῶν ὑμῶν, respexeobjurgantis ‘9: tt ἀνόητοι Γαλὰτιιι,οἶς κατ’ ὀφθαλιών Ἰησοῦς Χριστος προεγρὰφτι, ἐν ~3va ἐσταδρωμένοςῖ Τοἴς ἐφοδίοις τοῦ Θεοῦ ἀρκούμενοι καὶ προσέχοντες τοὺς λόγους αὐτοῦ ἐπιμελῶς, ἒστερνισμένοι ἦτε τοῖς σπλάγχνοις,κιιὶ τὰ παθήματα αὒτοῦ ἦν πρὸ ὀφθαλμῶν ὑμῶν, την Ἐκκλησίαν, τοῦ Θεοῦ ἣν περιεποιήσατο διὰ τοῦ ἔ”ν ῗὲἔιῖίὲλῗὶῗξ ‘21:
